otorinolaringologi,['QQQ&#111;&#116;&#111;&#114;&#105;&#110;&#111;&#108;&#97;&#114;&#105;&#110;&#103;&#111;&#108;&#111;&#103;&#105;', 180000]
baroskop,['QQQ&#98;&#97;&#114;&#111;&#115;&#107;&#111;&#112;', 80000]
batalion,['<ruby>队<rt>QQQ&#98;&#97;&#116;&#97;&#108;&#105;&#111;&#110;</rt></ruby>', 80000]
bazilisk,['<ruby>兽<rt>QQQ&#98;&#97;&#122;&#105;&#108;&#105;&#115;&#107;</rt></ruby>', 80000]
bekverel,['QQQ&#98;&#101;&#107;&#118;&#101;&#114;&#101;&#108;', 80000]
belmopan,['QQQ&#98;&#101;&#108;&#109;&#111;&#112;&#97;&#110;', 80000]
belmupan,['QQQ&#98;&#101;&#108;&#109;&#117;&#112;&#97;&#110;', 80000]
belveder,['QQQ&#98;&#101;&#108;&#118;&#101;&#100;&#101;&#114;', 80000]
beneluks,['QQQ&#98;&#101;&#110;&#101;&#108;&#117;&#107;&#115;', 80000]
bengalur,['QQQ&#98;&#101;&#110;&#103;&#97;&#108;&#117;&#114;', 80000]
berberis,['QQQ&#98;&#101;&#114;&#98;&#101;&#114;&#105;&#115;', 80000]
bergamot,['QQQ&#98;&#101;&#114;&#103;&#97;&#109;&#111;&#116;', 80000]
besarabi,['QQQ&#98;&#101;&#115;&#97;&#114;&#97;&#98;&#105;', 80000]
besxamel,['QQQ&#98;&#101;&#115;&#120;&#97;&#109;&#101;&#108;', 80000]
betatron,['QQQ&#98;&#101;&#116;&#97;&#116;&#114;&#111;&#110;', 80000]
bikonkav,['QQQ&#98;&#105;&#107;&#111;&#110;&#107;&#97;&#118;', 80000]
biocenoz,['QQQ&#98;&#105;&#111;&#99;&#101;&#110;&#111;&#122;', 80000]
biofizik,['QQQ&#98;&#105;&#111;&#102;&#105;&#122;&#105;&#107;', 80000]
biografi,['<ruby>事<rt>QQQ&#98;&#105;&#111;&#103;&#114;&#97;&#102;&#105;</rt></ruby>', 80000]
bodisatv,['QQQ&#98;&#111;&#100;&#105;&#115;&#97;&#116;&#118;', 80000]
bojxolez,['QQQ&#98;&#111;&#106;&#120;&#111;&#108;&#101;&#122;', 80000]
bonapart,['QQQ&#98;&#111;&#110;&#97;&#112;&#97;&#114;&#116;', 80000]
bonesper,['QQQ&#98;&#111;&#110;&#101;&#115;&#112;&#101;&#114;', 80000]
bracelet,['<ruby>手<rt>QQQ&#98;&#114;&#97;&#99;&#101;&#108;&#101;&#116;</rt></ruby>', 80000]
brankard,['QQQ&#98;&#114;&#97;&#110;&#107;&#97;&#114;&#100;', 80000]
bravisim,['QQQ&#98;&#114;&#97;&#118;&#105;&#115;&#105;&#109;', 80000]
brazavil,['QQQ&#98;&#114;&#97;&#122;&#97;&#118;&#105;&#108;', 80000]
brigxurb,['QQQ&#98;&#114;&#105;&#103;&#120;&#117;&#114;&#98;', 80000]
briliant,['<ruby>光<rt>QQQ&#98;&#114;&#105;&#108;&#105;&#97;&#110;&#116;</rt></ruby>', 80000]
brodkast,['QQQ&#98;&#114;&#111;&#100;&#107;&#97;&#115;&#116;', 80000]
brunsvik,['QQQ&#98;&#114;&#117;&#110;&#115;&#118;&#105;&#107;', 80000]
burokrat,['QQQ&#98;&#117;&#114;&#111;&#107;&#114;&#97;&#116;', 80000]
cefaloni,['QQQ&#99;&#101;&#102;&#97;&#108;&#111;&#110;&#105;', 80000]
celakant,['QQQ&#99;&#101;&#108;&#97;&#107;&#97;&#110;&#116;', 80000]
celenter,['QQQ&#99;&#101;&#108;&#101;&#110;&#116;&#101;&#114;', 80000]
celoidin,['QQQ&#99;&#101;&#108;&#111;&#105;&#100;&#105;&#110;', 80000]
celuloid,['QQQ&#99;&#101;&#108;&#117;&#108;&#111;&#105;&#100;', 80000]
centauxr,['QQQ&#99;&#101;&#110;&#116;&#97;&#117;&#120;&#114;', 80000]
cerefoli,['QQQ&#99;&#101;&#114;&#101;&#102;&#111;&#108;&#105;', 80000]
ceremoni,['<ruby>礼<rt>QQQ&#99;&#101;&#114;&#101;&#109;&#111;&#110;&#105;</rt></ruby>', 80000]
ciklamen,['QQQ&#99;&#105;&#107;&#108;&#97;&#109;&#101;&#110;', 80000]
cirkuler,['<ruby>告<rt>QQQ&#99;&#105;&#114;&#107;&#117;&#108;&#101;&#114;</rt></ruby>', 80000]
cxampanj,['QQQ&#99;&#120;&#97;&#109;&#112;&#97;&#110;&#106;', 80000]
cxampion,['QQQ&#99;&#120;&#97;&#109;&#112;&#105;&#111;&#110;', 80000]
cxangpaj,['QQQ&#99;&#120;&#97;&#110;&#103;&#112;&#97;&#106;', 80000]
cxantagx,['QQQ&#99;&#120;&#97;&#110;&#116;&#97;&#103;&#120;', 80000]
cxapelil,['QQQ&#99;&#120;&#97;&#112;&#101;&#108;&#105;&#108;', 80000]
cxarpent,['<ruby>造<rt>QQQ&#99;&#120;&#97;&#114;&#112;&#101;&#110;&#116;</rt></ruby>', 80000]
cxerburg,['QQQ&#99;&#120;&#101;&#114;&#98;&#117;&#114;&#103;', 80000]
cximaron,['QQQ&#99;&#120;&#105;&#109;&#97;&#114;&#111;&#110;', 80000]
cximpanz,['QQQ&#99;&#120;&#105;&#109;&#112;&#97;&#110;&#122;', 80000]
cxinghaj,['QQQ&#99;&#120;&#105;&#110;&#103;&#104;&#97;&#106;', 80000]
cxirkaux,['<ruby>周, 近<rt>QQQ&#99;&#120;&#105;&#114;&#107;&#97;&#117;&#120;</rt></ruby>', 80000]
cxogoliz,['QQQ&#99;&#120;&#111;&#103;&#111;&#108;&#105;&#122;', 80000]
cxokolad,['<ruby>力<rt>QQQ&#99;&#120;&#111;&#107;&#111;&#108;&#97;&#100;</rt></ruby>', 80000]
cxuvasxi,['QQQ&#99;&#120;&#117;&#118;&#97;&#115;&#120;&#105;', 80000]
dagestan,['QQQ&#100;&#97;&#103;&#101;&#115;&#116;&#97;&#110;', 80000]
dalmatik,['QQQ&#100;&#97;&#108;&#109;&#97;&#116;&#105;&#107;', 80000]
damasken,['QQQ&#100;&#97;&#109;&#97;&#115;&#107;&#101;&#110;', 80000]
dardanel,['QQQ&#100;&#97;&#114;&#100;&#97;&#110;&#101;&#108;', 80000]
darkemon,['QQQ&#100;&#97;&#114;&#107;&#101;&#109;&#111;&#110;', 80000]
decigram,['QQQ&#100;&#101;&#99;&#105;&#103;&#114;&#97;&#109;', 80000]
decilitr,['QQQ&#100;&#101;&#99;&#105;&#108;&#105;&#116;&#114;', 80000]
decimetr,['QQQ&#100;&#101;&#99;&#105;&#109;&#101;&#116;&#114;', 80000]
defauxlt,['QQQ&#100;&#101;&#102;&#97;&#117;&#120;&#108;&#116;', 80000]
defensiv,['QQQ&#100;&#101;&#102;&#101;&#110;&#115;&#105;&#118;', 80000]
dekadenc,['<ruby>衰<rt>QQQ&#100;&#101;&#107;&#97;&#100;&#101;&#110;&#99;</rt></ruby>', 80000]
dekagram,['QQQ&#100;&#101;&#107;&#97;&#103;&#114;&#97;&#109;', 80000]
dekalitr,['QQQ&#100;&#101;&#107;&#97;&#108;&#105;&#116;&#114;', 80000]
dekametr,['QQQ&#100;&#101;&#107;&#97;&#109;&#101;&#116;&#114;', 80000]
dekoraci,['<ruby>饰<rt>QQQ&#100;&#101;&#107;&#111;&#114;&#97;&#99;&#105;</rt></ruby>', 80000]
dekstrin,['QQQ&#100;&#101;&#107;&#115;&#116;&#114;&#105;&#110;', 80000]
delavari,['QQQ&#100;&#101;&#108;&#97;&#118;&#97;&#114;&#105;', 80000]
delegaci,['<ruby>团<rt>QQQ&#100;&#101;&#108;&#101;&#103;&#97;&#99;&#105;</rt></ruby>', 80000]
demagogi,['<ruby>动<rt>QQQ&#100;&#101;&#109;&#97;&#103;&#111;&#103;&#105;</rt></ruby>', 80000]
demograf,['QQQ&#100;&#101;&#109;&#111;&#103;&#114;&#97;&#102;', 80000]
demokrat,['<ruby>者<rt>QQQ&#100;&#101;&#109;&#111;&#107;&#114;&#97;&#116;</rt></ruby>', 80000]
demokrit,['QQQ&#100;&#101;&#109;&#111;&#107;&#114;&#105;&#116;', 80000]
demonstr,['QQQ&#100;&#101;&#109;&#111;&#110;&#115;&#116;&#114;', 80000]
depozici,['QQQ&#100;&#101;&#112;&#111;&#122;&#105;&#99;&#105;', 80000]
dermatit,['QQQ&#100;&#101;&#114;&#109;&#97;&#116;&#105;&#116;', 80000]
dermatoz,['QQQ&#100;&#101;&#114;&#109;&#97;&#116;&#111;&#122;', 80000]
detektiv,['QQQ&#100;&#101;&#116;&#101;&#107;&#116;&#105;&#118;', 80000]
detektor,['QQQ&#100;&#101;&#116;&#101;&#107;&#116;&#111;&#114;', 80000]
determin,['<ruby>定<rt>QQQ&#100;&#101;&#116;&#101;&#114;&#109;&#105;&#110;</rt></ruby>', 80000]
detonaci,['QQQ&#100;&#101;&#116;&#111;&#110;&#97;&#99;&#105;', 80000]
deuxteri,['QQQ&#100;&#101;&#117;&#120;&#116;&#101;&#114;&#105;', 80000]
diafragm,['<ruby>隔<rt>QQQ&#100;&#105;&#97;&#102;&#114;&#97;&#103;&#109;</rt></ruby>', 80000]
diagonal,['<ruby>边<rt>QQQ&#100;&#105;&#97;&#103;&#111;&#110;&#97;&#108;</rt></ruby>', 80000]
diapazon,['<ruby>音<rt>QQQ&#100;&#105;&#97;&#112;&#97;&#122;&#111;&#110;</rt></ruby>', 80000]
diatermi,['QQQ&#100;&#105;&#97;&#116;&#101;&#114;&#109;&#105;', 80000]
didaktik,['<ruby>学<rt>QQQ&#100;&#105;&#100;&#97;&#107;&#116;&#105;&#107;</rt></ruby>', 80000]
diferenc,['<ruby>异<rt>QQQ&#100;&#105;&#102;&#101;&#114;&#101;&#110;&#99;</rt></ruby>', 80000]
difterit,['<ruby>炎<rt>QQQ&#100;&#105;&#102;&#116;&#101;&#114;&#105;&#116;</rt></ruby>', 80000]
diklorid,['QQQ&#100;&#105;&#107;&#108;&#111;&#114;&#105;&#100;', 80000]
diktafon,['QQQ&#100;&#105;&#107;&#116;&#97;&#102;&#111;&#110;', 80000]
diktator,['<ruby>者<rt>QQQ&#100;&#105;&#107;&#116;&#97;&#116;&#111;&#114;</rt></ruby>', 80000]
diktatur,['QQQ&#100;&#105;&#107;&#116;&#97;&#116;&#117;&#114;', 80000]
diletant,['QQQ&#100;&#105;&#108;&#101;&#116;&#97;&#110;&#116;', 80000]
diligent,['<ruby>勤<rt>QQQ&#100;&#105;&#108;&#105;&#103;&#101;&#110;&#116;</rt></ruby>', 80000]
dinamism,['QQQ&#100;&#105;&#110;&#97;&#109;&#105;&#115;&#109;', 80000]
dinornit,['QQQ&#100;&#105;&#110;&#111;&#114;&#110;&#105;&#116;', 80000]
dinoteri,['QQQ&#100;&#105;&#110;&#111;&#116;&#101;&#114;&#105;', 80000]
dioptrik,['QQQ&#100;&#105;&#111;&#112;&#116;&#114;&#105;&#107;', 80000]
diplodok,['QQQ&#100;&#105;&#112;&#108;&#111;&#100;&#111;&#107;', 80000]
diplomat,['<ruby>员<rt>QQQ&#100;&#105;&#112;&#108;&#111;&#109;&#97;&#116;</rt></ruby>', 80000]
direktal,['QQQ&#100;&#105;&#114;&#101;&#107;&#116;&#97;&#108;', 80000]
direktiv,['QQQ&#100;&#105;&#114;&#101;&#107;&#116;&#105;&#118;', 80000]
direktor,['<ruby>长<rt>QQQ&#100;&#105;&#114;&#101;&#107;&#116;&#111;&#114;</rt></ruby>', 80000]
dirigent,['QQQ&#100;&#105;&#114;&#105;&#103;&#101;&#110;&#116;', 80000]
discxipl,['<ruby>学<rt>QQQ&#100;&#105;&#115;&#99;&#120;&#105;&#112;&#108;</rt></ruby>', 80000]
disident,['QQQ&#100;&#105;&#115;&#105;&#100;&#101;&#110;&#116;', 80000]
disonanc,['QQQ&#100;&#105;&#115;&#111;&#110;&#97;&#110;&#99;', 80000]
dispepsi,['<ruby>消<rt>QQQ&#100;&#105;&#115;&#112;&#101;&#112;&#115;&#105;</rt></ruby>', 80000]
distribu,['<ruby>分<rt>QQQ&#100;&#105;&#115;&#116;&#114;&#105;&#98;&#117;</rt></ruby>', 80000]
distrikt,['<ruby>区<rt>QQQ&#100;&#105;&#115;&#116;&#114;&#105;&#107;&#116;</rt></ruby>', 80000]
ditiramb,['<ruby>颂<rt>QQQ&#100;&#105;&#116;&#105;&#114;&#97;&#109;&#98;</rt></ruby>', 80000]
divalent,['QQQ&#100;&#105;&#118;&#97;&#108;&#101;&#110;&#116;', 80000]
diversec,['QQQ&#100;&#105;&#118;&#101;&#114;&#115;&#101;&#99;', 80000]
dividend,['QQQ&#100;&#105;&#118;&#105;&#100;&#101;&#110;&#100;', 80000]
dokument,['<ruby>文<rt>QQQ&#100;&#111;&#107;&#117;&#109;&#101;&#110;&#116;</rt></ruby>', 80000]
dominant,['QQQ&#100;&#111;&#109;&#105;&#110;&#97;&#110;&#116;', 80000]
dongting,['QQQ&#100;&#111;&#110;&#103;&#116;&#105;&#110;&#103;', 80000]
donjxuan,['QQQ&#100;&#111;&#110;&#106;&#120;&#117;&#97;&#110;', 80000]
dortmund,['QQQ&#100;&#111;&#114;&#116;&#109;&#117;&#110;&#100;', 80000]
dozologi,['QQQ&#100;&#111;&#122;&#111;&#108;&#111;&#103;&#105;', 80000]
dozometr,['QQQ&#100;&#111;&#122;&#111;&#109;&#101;&#116;&#114;', 80000]
dromedar,['<ruby>者<rt>QQQ&#100;&#114;&#111;&#109;&#101;&#100;&#97;&#114;</rt></ruby>', 80000]
duodenit,['QQQ&#100;&#117;&#111;&#100;&#101;&#110;&#105;&#116;', 80000]
duplikat,['QQQ&#100;&#117;&#112;&#108;&#105;&#107;&#97;&#116;', 80000]
duramatr,['QQQ&#100;&#117;&#114;&#97;&#109;&#97;&#116;&#114;', 80000]
edelvejs,['QQQ&#101;&#100;&#101;&#108;&#118;&#101;&#106;&#115;', 80000]
edinburg,['QQQ&#101;&#100;&#105;&#110;&#98;&#117;&#114;&#103;', 80000]
efemerid,['QQQ&#101;&#102;&#101;&#109;&#101;&#114;&#105;&#100;', 80000]
efervesk,['QQQ&#101;&#102;&#101;&#114;&#118;&#101;&#115;&#107;', 80000]
efloresk,['QQQ&#101;&#102;&#108;&#111;&#114;&#101;&#115;&#107;', 80000]
ekauxdat,['QQQ&#101;&#107;&#97;&#117;&#120;&#100;&#97;&#116;', 80000]
eklampsi,['QQQ&#101;&#107;&#108;&#97;&#109;&#112;&#115;&#105;', 80000]
eklektik,['QQQ&#101;&#107;&#108;&#101;&#107;&#116;&#105;&#107;', 80000]
ekliptik,['QQQ&#101;&#107;&#108;&#105;&#112;&#116;&#105;&#107;', 80000]
ekonomik,['QQQ&#101;&#107;&#111;&#110;&#111;&#109;&#105;&#107;', 80000]
ekscepci,['QQQ&#101;&#107;&#115;&#99;&#101;&#112;&#99;&#105;', 80000]
ekskreci,['QQQ&#101;&#107;&#115;&#107;&#114;&#101;&#99;&#105;', 80000]
ekspansi,['QQQ&#101;&#107;&#115;&#112;&#97;&#110;&#115;&#105;', 80000]
ekspluat,['<ruby>采<rt>QQQ&#101;&#107;&#115;&#112;&#108;&#117;&#97;&#116;</rt></ruby>', 80000]
ekstrakt,['<ruby>取<rt>QQQ&#101;&#107;&#115;&#116;&#114;&#97;&#107;&#116;</rt></ruby>', 80000]
ekvilibr,['<ruby>平<rt>QQQ&#101;&#107;&#118;&#105;&#108;&#105;&#98;&#114;</rt></ruby>', 80000]
ekvinoks,['QQQ&#101;&#107;&#118;&#105;&#110;&#111;&#107;&#115;', 80000]
ekzantem,['QQQ&#101;&#107;&#122;&#97;&#110;&#116;&#101;&#109;', 80000]
ekzekuci,['QQQ&#101;&#107;&#122;&#101;&#107;&#117;&#99;&#105;', 80000]
ekzorciz,['QQQ&#101;&#107;&#122;&#111;&#114;&#99;&#105;&#122;', 80000]
ekzoterm,['QQQ&#101;&#107;&#122;&#111;&#116;&#101;&#114;&#109;', 80000]
elektrod,['QQQ&#101;&#108;&#101;&#107;&#116;&#114;&#111;&#100;', 80000]
elektron,['QQQ&#101;&#108;&#101;&#107;&#116;&#114;&#111;&#110;', 80000]
elevator,['QQQ&#101;&#108;&#101;&#118;&#97;&#116;&#111;&#114;', 80000]
elipsoid,['QQQ&#101;&#108;&#105;&#112;&#115;&#111;&#105;&#100;', 80000]
elizabet,['<ruby>利<rt>QQQ&#101;&#108;&#105;&#122;&#97;&#98;&#101;&#116;</rt></ruby>', 80000]
elokvent,['<ruby>辩<rt>QQQ&#101;&#108;&#111;&#107;&#118;&#101;&#110;&#116;</rt></ruby>', 80000]
embrazur,['QQQ&#101;&#109;&#98;&#114;&#97;&#122;&#117;&#114;', 80000]
emeritur,['QQQ&#101;&#109;&#101;&#114;&#105;&#116;&#117;&#114;', 80000]
empirism,['QQQ&#101;&#109;&#112;&#105;&#114;&#105;&#115;&#109;', 80000]
empirist,['QQQ&#101;&#109;&#112;&#105;&#114;&#105;&#115;&#116;', 80000]
enciklik,['QQQ&#101;&#110;&#99;&#105;&#107;&#108;&#105;&#107;', 80000]
endokard,['QQQ&#101;&#110;&#100;&#111;&#107;&#97;&#114;&#100;', 80000]
endokarp,['QQQ&#101;&#110;&#100;&#111;&#107;&#97;&#114;&#112;', 80000]
endokrin,['QQQ&#101;&#110;&#100;&#111;&#107;&#114;&#105;&#110;', 80000]
endoskop,['QQQ&#101;&#110;&#100;&#111;&#115;&#107;&#111;&#112;', 80000]
endosmoz,['QQQ&#101;&#110;&#100;&#111;&#115;&#109;&#111;&#122;', 80000]
endoterm,['QQQ&#101;&#110;&#100;&#111;&#116;&#101;&#114;&#109;', 80000]
engrauxl,['QQQ&#101;&#110;&#103;&#114;&#97;&#117;&#120;&#108;', 80000]
envergur,['QQQ&#101;&#110;&#118;&#101;&#114;&#103;&#117;&#114;', 80000]
epidauxr,['QQQ&#101;&#112;&#105;&#100;&#97;&#117;&#120;&#114;', 80000]
epigastr,['QQQ&#101;&#112;&#105;&#103;&#97;&#115;&#116;&#114;', 80000]
epilepsi,['<ruby>脑<rt>QQQ&#101;&#112;&#105;&#108;&#101;&#112;&#115;&#105;</rt></ruby>', 80000]
epiornit,['QQQ&#101;&#112;&#105;&#111;&#114;&#110;&#105;&#116;', 80000]
epistrof,['QQQ&#101;&#112;&#105;&#115;&#116;&#114;&#111;&#102;', 80000]
epizooti,['QQQ&#101;&#112;&#105;&#122;&#111;&#111;&#116;&#105;', 80000]
ergograf,['QQQ&#101;&#114;&#103;&#111;&#103;&#114;&#97;&#102;', 80000]
ergologi,['QQQ&#101;&#114;&#103;&#111;&#108;&#111;&#103;&#105;', 80000]
ergometr,['QQQ&#101;&#114;&#103;&#111;&#109;&#101;&#116;&#114;', 80000]
eritroni,['QQQ&#101;&#114;&#105;&#116;&#114;&#111;&#110;&#105;', 80000]
erizipel,['<ruby>感<rt>QQQ&#101;&#114;&#105;&#122;&#105;&#112;&#101;&#108;</rt></ruby>', 80000]
eskadron,['QQQ&#101;&#115;&#107;&#97;&#100;&#114;&#111;&#110;', 80000]
esperant,['<ruby>语<rt>QQQ&#101;&#115;&#112;&#101;&#114;&#97;&#110;&#116;</rt></ruby>', 80000]
estragon,['QQQ&#101;&#115;&#116;&#114;&#97;&#103;&#111;&#110;', 80000]
etimolog,['QQQ&#101;&#116;&#105;&#109;&#111;&#108;&#111;&#103;', 80000]
etiologi,['<ruby>因<rt>QQQ&#101;&#116;&#105;&#111;&#108;&#111;&#103;&#105;</rt></ruby>', 80000]
etnograf,['<ruby>民<rt>QQQ&#101;&#116;&#110;&#111;&#103;&#114;&#97;&#102;</rt></ruby>', 80000]
etnologi,['QQQ&#101;&#116;&#110;&#111;&#108;&#111;&#103;&#105;', 80000]
euxforbi,['QQQ&#101;&#117;&#120;&#102;&#111;&#114;&#98;&#105;', 80000]
euxgenik,['QQQ&#101;&#117;&#120;&#103;&#101;&#110;&#105;&#107;', 80000]
evangeli,['<ruby>讯<rt>QQQ&#101;&#118;&#97;&#110;&#103;&#101;&#108;&#105;</rt></ruby>', 80000]
eventual,['<ruby>机<rt>QQQ&#101;&#118;&#101;&#110;&#116;&#117;&#97;&#108;</rt></ruby>', 80000]
ezofagit,['QQQ&#101;&#122;&#111;&#102;&#97;&#103;&#105;&#116;', 80000]
fakocxer,['QQQ&#102;&#97;&#107;&#111;&#99;&#120;&#101;&#114;', 80000]
faksimil,['<ruby>印<rt>QQQ&#102;&#97;&#107;&#115;&#105;&#109;&#105;&#108;</rt></ruby>', 80000]
fakultat,['<ruby>学<rt>QQQ&#102;&#97;&#107;&#117;&#108;&#116;&#97;&#116;</rt></ruby>', 80000]
falkland,['QQQ&#102;&#97;&#108;&#107;&#108;&#97;&#110;&#100;', 80000]
familiar,['<ruby>亲<rt>QQQ&#102;&#97;&#109;&#105;&#108;&#105;&#97;&#114;</rt></ruby>', 80000]
fanfaron,['<ruby>自<rt>QQQ&#102;&#97;&#110;&#102;&#97;&#114;&#111;&#110;</rt></ruby>', 80000]
farandol,['QQQ&#102;&#97;&#114;&#97;&#110;&#100;&#111;&#108;', 80000]
faringit,['QQQ&#102;&#97;&#114;&#105;&#110;&#103;&#105;&#116;', 80000]
federaci,['<ruby>联<rt>QQQ&#102;&#101;&#100;&#101;&#114;&#97;&#99;&#105;</rt></ruby>', 80000]
felandri,['QQQ&#102;&#101;&#108;&#97;&#110;&#100;&#114;&#105;', 80000]
feldspat,['QQQ&#102;&#101;&#108;&#100;&#115;&#112;&#97;&#116;', 80000]
felieton,['<ruby>论<rt>QQQ&#102;&#101;&#108;&#105;&#101;&#116;&#111;&#110;</rt></ruby>', 80000]
feminism,['<ruby>女<rt>QQQ&#102;&#101;&#109;&#105;&#110;&#105;&#115;&#109;</rt></ruby>', 80000]
feminist,['<ruby>者<rt>QQQ&#102;&#101;&#109;&#105;&#110;&#105;&#115;&#116;</rt></ruby>', 80000]
ferotipi,['QQQ&#102;&#101;&#114;&#111;&#116;&#105;&#112;&#105;', 80000]
festival,['QQQ&#102;&#101;&#115;&#116;&#105;&#118;&#97;&#108;', 80000]
filadelf,['QQQ&#102;&#105;&#108;&#97;&#100;&#101;&#108;&#102;', 80000]
filament,['QQQ&#102;&#105;&#108;&#97;&#109;&#101;&#110;&#116;', 80000]
filateli,['QQQ&#102;&#105;&#108;&#97;&#116;&#101;&#108;&#105;', 80000]
filigran,['QQQ&#102;&#105;&#108;&#105;&#103;&#114;&#97;&#110;', 80000]
filokser,['QQQ&#102;&#105;&#108;&#111;&#107;&#115;&#101;&#114;', 80000]
filologi,['<ruby>学<rt>QQQ&#102;&#105;&#108;&#111;&#108;&#111;&#103;&#105;</rt></ruby>', 80000]
filozofi,['<ruby>思<rt>QQQ&#102;&#105;&#108;&#111;&#122;&#111;&#102;&#105;</rt></ruby>', 80000]
finister,['QQQ&#102;&#105;&#110;&#105;&#115;&#116;&#101;&#114;', 80000]
fiziolog,['<ruby>生<rt>QQQ&#102;&#105;&#122;&#105;&#111;&#108;&#111;&#103;</rt></ruby>', 80000]
flakurti,['QQQ&#102;&#108;&#97;&#107;&#117;&#114;&#116;&#105;', 80000]
flamberg,['QQQ&#102;&#108;&#97;&#109;&#98;&#101;&#114;&#103;', 80000]
flibustr,['QQQ&#102;&#108;&#105;&#98;&#117;&#115;&#116;&#114;', 80000]
fluoresk,['QQQ&#102;&#108;&#117;&#111;&#114;&#101;&#115;&#107;', 80000]
fomalhot,['QQQ&#102;&#111;&#109;&#97;&#108;&#104;&#111;&#116;', 80000]
fonetism,['QQQ&#102;&#111;&#110;&#101;&#116;&#105;&#115;&#109;', 80000]
fonograf,['<ruby>音<rt>QQQ&#102;&#111;&#110;&#111;&#103;&#114;&#97;&#102;</rt></ruby>', 80000]
fonogram,['QQQ&#102;&#111;&#110;&#111;&#103;&#114;&#97;&#109;', 80000]
fonometr,['QQQ&#102;&#111;&#110;&#111;&#109;&#101;&#116;&#114;', 80000]
fonoskop,['QQQ&#102;&#111;&#110;&#111;&#115;&#107;&#111;&#112;', 80000]
fontanel,['QQQ&#102;&#111;&#110;&#116;&#97;&#110;&#101;&#108;', 80000]
forfikul,['QQQ&#102;&#111;&#114;&#102;&#105;&#107;&#117;&#108;', 80000]
formalin,['QQQ&#102;&#111;&#114;&#109;&#97;&#108;&#105;&#110;', 80000]
fosforit,['QQQ&#102;&#111;&#115;&#102;&#111;&#114;&#105;&#116;', 80000]
fotocxel,['QQQ&#102;&#111;&#116;&#111;&#99;&#120;&#101;&#108;', 80000]
fotograf,['<ruby>录, 影<rt>QQQ&#102;&#111;&#116;&#111;&#103;&#114;&#97;&#102;</rt></ruby>', 80000]
fotokemi,['QQQ&#102;&#111;&#116;&#111;&#107;&#101;&#109;&#105;', 80000]
fotometr,['QQQ&#102;&#111;&#116;&#111;&#109;&#101;&#116;&#114;', 80000]
fotosfer,['QQQ&#102;&#111;&#116;&#111;&#115;&#102;&#101;&#114;', 80000]
fotostat,['QQQ&#102;&#111;&#116;&#111;&#115;&#116;&#97;&#116;', 80000]
fototipi,['QQQ&#102;&#111;&#116;&#111;&#116;&#105;&#112;&#105;', 80000]
fragment,['<ruby>片<rt>QQQ&#102;&#114;&#97;&#103;&#109;&#101;&#110;&#116;</rt></ruby>', 80000]
framason,['<ruby>会<rt>QQQ&#102;&#114;&#97;&#109;&#97;&#115;&#111;&#110;</rt></ruby>', 80000]
francisk,['QQQ&#102;&#114;&#97;&#110;&#99;&#105;&#115;&#107;', 80000]
frankoni,['QQQ&#102;&#114;&#97;&#110;&#107;&#111;&#110;&#105;', 80000]
frederik,['QQQ&#102;&#114;&#101;&#100;&#101;&#114;&#105;&#107;', 80000]
frekvenc,['QQQ&#102;&#114;&#101;&#107;&#118;&#101;&#110;&#99;', 80000]
frekvent,['QQQ&#102;&#114;&#101;&#107;&#118;&#101;&#110;&#116;', 80000]
frenolog,['QQQ&#102;&#114;&#101;&#110;&#111;&#108;&#111;&#103;', 80000]
frikativ,['QQQ&#102;&#114;&#105;&#107;&#97;&#116;&#105;&#118;', 80000]
fritauxn,['QQQ&#102;&#114;&#105;&#116;&#97;&#117;&#120;&#110;', 80000]
frugileg,['<ruby>鸟<rt>QQQ&#102;&#114;&#117;&#103;&#105;&#108;&#101;&#103;</rt></ruby>', 80000]
ftizolog,['QQQ&#102;&#116;&#105;&#122;&#111;&#108;&#111;&#103;', 80000]
funafuti,['QQQ&#102;&#117;&#110;&#97;&#102;&#117;&#116;&#105;', 80000]
fuzelagx,['QQQ&#102;&#117;&#122;&#101;&#108;&#97;&#103;&#120;', 80000]
fuzilier,['QQQ&#102;&#117;&#122;&#105;&#108;&#105;&#101;&#114;', 80000]
gabardin,['QQQ&#103;&#97;&#98;&#97;&#114;&#100;&#105;&#110;', 80000]
gadolini,['QQQ&#103;&#97;&#100;&#111;&#108;&#105;&#110;&#105;', 80000]
galantin,['<ruby>菜<rt>QQQ&#103;&#97;&#108;&#97;&#110;&#116;&#105;&#110;</rt></ruby>', 80000]
galicism,['QQQ&#103;&#97;&#108;&#105;&#99;&#105;&#115;&#109;', 80000]
galimati,['QQQ&#103;&#97;&#108;&#105;&#109;&#97;&#116;&#105;', 80000]
galvaniz,['QQQ&#103;&#97;&#108;&#118;&#97;&#110;&#105;&#122;', 80000]
ganglion,['QQQ&#103;&#97;&#110;&#103;&#108;&#105;&#111;&#110;', 80000]
gangster,['QQQ&#103;&#97;&#110;&#103;&#115;&#116;&#101;&#114;', 80000]
gargantu,['QQQ&#103;&#97;&#114;&#103;&#97;&#110;&#116;&#117;', 80000]
garnitur,['<ruby>套<rt>QQQ&#103;&#97;&#114;&#110;&#105;&#116;&#117;&#114;</rt></ruby>', 80000]
